date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:34	5813/5813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255203ef4-16b5%22	http://trendingtemplates.com/demos/trips/js/custom.js	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/js/custom.js	(from http://trendingtemplates.com/demos/trips/)
22:54:36	9088/9088	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255203ef8-2380%22	http://trendingtemplates.com/demos/trips/js/revslider.js	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/js/revslider.js	(from http://trendingtemplates.com/demos/trips/)
22:54:37	98511/98511	---MCZ	200	added ('OK')	application/javascript	etag:W/%22552033b6-180cf%22	http://trendingtemplates.com/demos/trips/rs-plugin/js/jquery.themepunch.tools.min.js	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/rs-plugin/js/jquery.themepunch.tools.min.js	(from http://trendingtemplates.com/demos/trips/)
22:54:37	18028/18028	---M--	200	added ('OK')	text/html	etag:%22120b11-466c-512ea96405900%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.woff2	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.html	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
22:54:39	113138/113138	---MCZ	200	added ('OK')	application/javascript	etag:W/%22552033b4-1b9f2%22	http://trendingtemplates.com/demos/trips/rs-plugin/js/jquery.themepunch.revolution.min.js	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://trendingtemplates.com/demos/trips/)
22:54:39	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22120b17-4f6f-512ea96035000%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.eot	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.eot	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
22:54:40	41280/41280	---M--	200	added ('OK')	text/html	etag:%22120b0e-a140-512ea9621d480%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.ttf	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular-2.html	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
22:54:42	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%2255203342-f5ce%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.svg	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.svg	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
22:54:42	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22120b17-4f6f-512ea96035000%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.eot?	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regulard41d.eot	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
22:54:42	23320/23320	---M--	200	added ('OK')	application/x-font-woff	etag:%22120b1e-5b18-512ea96405900%22	http://trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.woff	D:/DISCO%20D/tripmate/trendingtemplates.com/demos/trips/fonts/glyphicons-halflings-regular.woff	(from http://trendingtemplates.com/demos/trips/css/bootstrap.css)
